Nama Data,Transkrip Suara (Bahasa Indonesia),Train (80%) / Test (10%) / Dev (10%)
TVRI_BS_071119_0099,Mendikbud Nadiem Makarim juga menerjunkan tim untuk melakukan investigasi,Train
TVRI_BS_071119_0100,"Saya ucapkan, bela Sungkawa saya berbicara sama keluarga korban, setelah ini saya akan mengunjungi keluarga korban.",Train
TVRI_BS_071119_0101,Saya melihat ini adalah suatu hal yang tidak bisa saya terima,Train
TVRI_BS_071119_0104,"Karena keamanan murid, guru, dan orang tua itu harus nomor satu.",Train
TVRI_BS_071119_0107,Kedepan Menteri Pendidikan dan Kebudayaan,Train
TVRI_BS_071119_0108,Berencana menciptakan sistem monitoring yang lebih baik,Train
TVRI_BS_071119_0113,sesuai dengan cita-cita dari Presiden Joko Widodo.,Train
TVRI_BS_071119_0115,"Baik, terima kasih Wira Ananta melaporkan langsung dari Jawa Timur. Selamat malam.",Train
TVRI_BS_071119_0119,Kasubdit Mitigasi Bencana BNPB Muhammad Robi Amri mengatakan,Train
TVRI_BS_071119_0120,sekitar 75 persen sekolah didirikan di daerah rawan bencana,Train
TVRI_BS_071119_0121,"seperti tsunami, longsor, banjir, gempa bumi, dan lainnya.",Dev
TVRI_BS_071119_0122,Lebih dari 500 ribu satuan pendidikan dan lebih dari 60 juta peserta didik akan merasakan dampak jika bencana terjadi.,Train
TVRI_BS_071119_0124,Karena itu BNPB menilai kerjasama dari berbagai lini untuk menyegarakan satuan pendidikan aman bencana penting untuk dilakukan.,Train
TVRI_BS_071119_0125,Terlebih Indonesia masuk dalam kategori negara dengan tingkat resiko bencana tinggi.,Train
TVRI_BS_071119_0126,BNPB juga bekerja sama dengan Kementerian Pendidikan dan Kebudayaan untuk memastikan simulasi dan pelatihan penanganan bencana secara berkala dan berkesinambungan hingga tingkat RT atau RW setempat.,Train
TVRI_BS_071119_0127,"Saudara ratusan rumah di Desa ploso, Kecamatan Karangtengah, Kabupaten Demak, Jawa Tengah rusak tersapu angin puting beliung.",Train
TVRI_BS_071119_0130,"Tidak ada korban jiwa dalam peristiwa ini, namun tiga rumah roboh dan rata dengan tanah.",Train
TVRI_BS_071119_0135,"Tapi setelah ada angin putar dari arah barat daya, barat laut, terus timur laut",Train
TVRI_BS_071119_0136,Itu bersamaan muter kayaknya itu mengangkat rumah itu terus ambles ke bawah,Train
TVRI_BS_071119_0143,"rusak roboh, rusak berat",Train
TVRI_BS_071119_0144,"kalau yang ringan, hampir setiap rumah",Dev
TVRI_BS_071119_0145,"ada 700 KK rumah, 700 rumah itu",Train
TVRI_BS_071119_0148,Cuaca ekstrim membuat warga masih khawatir jika terjadi terjangan angin puting bliung kembali.,Train
TVRI_BS_071119_0150,Usaha sudah berikut ini kami akan kembali dengan sejumlah informasi lainnya.,Train
TVRI_BS_071119_0152,Terima kasih Anda masih bersama kami di Indonesia hari ini.,Train
TVRI_BS_071119_0156,Hilmi bisa digambarkan seperti apa suasana kedatangan jenazah?,Dev
TVRI_BS_071119_0158,Sri Rahayu 20 tahun merupakan buruh migran asal Karawang Jawa Barat,Train
TVRI_BS_071119_0160,taman apartemen tempat ia bekerja sebagai asisten rumah tangga,Train
TVRI_BS_071119_0161,"Dan kedatangan jenazah Sri Rahayu ini juga disambut oleh isak tangis dari pihak keluarga, suami, juga orang tua Sri Rahayu tersebut, Saudara.",Train
TVRI_BS_071119_0163,Jenazah langsung diturunkan dari ambulans dan langsung disemayamkan di rumah duka.,Train
TVRI_BS_071119_0164,Namun hingga sampai saat ini penyebab pasti kematian Sri Rahayu atau meninggalnya Sri Rahayu belum dapat diketahui karena masih dalam proses penyelidikan.,Test
TVRI_BS_071119_0165,Seperti yang diungkapkan oleh petugas di Senaker Trans Kabupaten Karawang Ahmad Sogiri.,Train
TVRI_BS_071119_0169,Sementara memang hasil report medikalnya belum kita dapatkan.,Dev
TVRI_BS_071119_0170,"Cuma untuk, jadi belum mendapatkan yang pasti gitu.",Test
TVRI_BS_071119_0171,Saya makanya tidak bisa berani.,Test
TVRI_BS_071119_0172,Ya saudara setelah disolatkan jenazah sri langsung dimakamkan di tempat pemakaman umum,Train
TVRI_BS_071119_0173,"di dekat rumah tinggalnya di Kabupaten Karawang, Jawa Barat.",Train
TVRI_BS_071119_0175,dari Kabupaten Karawang ini meninggal dan tersebar luas di media sosial Facebook,Train
TVRI_BS_071119_0177,"Dan berdasarkan keterangan dari keluarga, Sri Rahayu merupakan TKI legal",Dev
TVRI_BS_071119_0182,"Kita beralih ke fokus selainnya, Soerara.",Train
TVRI_BS_071119_0185,Kepala Negara mengungkapkan pertanyaan tersebut,Train
TVRI_BS_071119_0186,karena Partai Nasdem masih tergabung dalam koalisi pemerintah.,Train
TVRI_BS_071119_0187,Presiden Joko Widodo mengungkapkan sempat bertanya kepada Ketua Umum Partai Nasdem Surya Paloh,Train
TVRI_BS_071119_0188,tentang alasannya bertemu dengan Presiden PKS Sohibul Iman.,Train
TVRI_BS_071119_0189,"Kepala negara bertanya hal tersebut karena Partai Nasdem masih berada dalam koalisi pemerintah,",Test
TVRI_BS_071119_0190,sedangkan PKS di luar koalisi.,Train
TVRI_BS_071119_0191,Hal itu diungkapkan Presiden Joko Widodo ketika membuka sambutan HUT ke-55 Partai Golkar di Jakarta.,Train
TVRI_BS_071119_0192,Tidak pernah saya dirangkul oleh Bang Surya seerat beliau merangkul Pak sohibul Iman,Test
TVRI_BS_071119_0195,Ya saya boleh bertanya dong karena beliau masih di koalisi pemerintah,Train
TVRI_BS_071119_0196,Sementara Partai Nasdem mengungkapkan pertemuan Ketua Umumnya Surya Paloh dengan Presiden PKS Sohibul Iman,Test
TVRI_BS_071119_0197,Sama dengan langkah yang dilakukan Presiden Joko Widodo yang tidak memutus silaturahmi dengan partai yang berbeda sikap pada Pilpres 2019,Train
TVRI_BS_071119_0198,Ketua Umum Partai Nasdem Surya Paloh menganggap Presiden Joko Widodo cuma bergurau,Dev
TVRI_BS_071119_0199,saat menyinggung pertemuannya dengan Presiden Partai Keadilan Sejahtera Sohibul Iman.,Train
TVRI_BS_071119_0200,Surya Paloh tidak menganggap ucapan Jokowi itu sebagai sindiran.,Train
TVRI_BS_071119_0203,Surya Paloh juga mengaku menerima dengan senang pernyataan Jokowi itu,Train
TVRI_BS_071119_0204,"Menurut Surya Paloh, komunikasi antar pemimpin partai, baik koalisi maupun non-koalisi memang harus terjalin dengan baik",Train
TVRI_BS_071119_0205,"Dia juga berujar semua partai harus menjalankan posisi dan peran bersama untuk meringankan beban masyarakat, bukan sebaliknya malah memberatkan",Train
TVRI_BS_071119_0206,Surya Paloh pun menilai terlalu naif jika pernyataan Jokowi diartikan sebagai peringatan agar Nasdem tak bermanuver,Train
TVRI_BS_071119_0207,"Menurutnya, demokrasi Indonesia saat ini sudah maju sehingga peraduga negatif sebaiknya dibuang jauh",Train
TVRI_BS_071119_0211,"Surya dan Sohibul bertemu pada Rabu 30 Oktober 2019 di kantor DPP-PKS di Jalan TB Simatupang, Jakarta Selatan.",Train
TVRI_BS_071119_0212,"Usai bertemu, keduanya mengekspresikan kedekatannya dengan berangkulan.",Dev
TVRI_BS_071119_0213,Presiden Republik Indonesia dan Wakil Presiden Republik Indonesia tiba di tempat acara.,Train
TVRI_BS_071119_0214,Presiden Jokowi Dodo didampingi Wakil Presiden Maruf Amin menghadiri perayaan HUT ke-55 Partai Golkar di Jakarta.,Dev
TVRI_BS_071119_0215,"Dalam sambutannya, Kepala Negara mengungkapkan 55 tahun merupakan usia yang matang bagi partai politik.",Dev
TVRI_BS_071119_0216,Presiden Jokowi mengharapkan Partai Golkar dapat menjadi pelopor dalam modernisasi dan pemanfaatan teknologi.,Train
TVRI_BS_071119_0217,Presiden Joko Widodo juga berpesan,Dev
TVRI_BS_071119_0218,Partai Golkar sebagai tulang punggung pemerintahan,Dev
TVRI_BS_071119_0219,Dapat menjaga soliditas dan komitmen,Train
TVRI_BS_071119_0222,Golkar adalah,Train
TVRI_BS_071119_0223,Sudah menjadi tulang punggungnya kekuatan pemerintah saat ini,Train
TVRI_BS_071119_0224,"Jadi, kegoncangan misalnya, ada kegoncangan di Golkar sedikit, itu pemerintahnya juga, pemerintah kita ini juga ikut.",Train
TVRI_BS_071119_0225,"Golkar goncang sedikit, pemerintah juga ikut, tergoncang dikit juga.",Train
TVRI_BS_071119_0226,"Oleh sebab itu, kesulitan dan komitmen harus kita jaga bersama-sama.",Train
TVRI_BS_071119_0227,Ketua Umum Partai Golkar Airlangga Hartanto menyatakan seluruh kader partai agar dapat memberikan sumbangsi positif kepada bangsa dan negara.,Train
TVRI_BS_071119_0228,Airlangga juga meminta para kader Partai Golkar untuk terus mengawal dan mendukung pemerintah.,Train
TVRI_BS_071119_0229,Mantan Wakil Gubernur Jawa Barat dan juga politikus Partai Demokrat Deddy Mizuar dikabarkan segera bergabung ke Partai Gelombang Rakyat atau Gelora.,Train
TVRI_BS_071119_0230,Indikasi kepindahan itu terlihat dari cuitan di akun Twitter pribadinya.,Train
TVRI_BS_071119_0231,"Dalam akun media sosial Twitter, politikus Partai Demokrat Deddy Mizuar,",Train
TVRI_BS_071119_0233,"Ia juga menuliskan tweet disertai foto dirinya yang menyebut Gelora Perjalanan Baru, Visi Baru, Arah Baru.",Train
TVRI_BS_071119_0234,"Namun, ia tidak secara tegas menyebut rencana kepindahan (partai).",Train
TVRI_BS_071119_0235,Keputusannya akan dilakukan setelah Partai Gelora resmi mendeklarasikan diri.,Train
TVRI_BS_071119_0236,Deddy Mizwar menyebut dirinya terlibat dalam mendorong lahirnya Gelora.,Train
TVRI_BS_071119_0241,"Beralih ke sorotan lainnya, Presiden Joko Widodo memutuskan untuk menghidupkan kembali jabatan Wakil Panglima TNI",Train
TVRI_BS_071119_0242,Hal ini dituangkan dalam Peraturan Presiden No. 65 Tahun 2019 tentang Susunan Organisasi Tentara Nasional Indonesia atau TNI.,Train
TVRI_BS_071119_0243,Keberadaan Wakil Panglima TNI tertuang dalam Pasal 13 Ayat 1 Peraturan Presiden No. 65 Tahun 2019.,Train
TVRI_BS_071119_0246,"Selain itu, Wakil Panglima juga bertugas melaksanakan tugas Panglima apabila Panglima berhalangan sementara waktu dan atau berhalangan tetap dan melaksanakan tugas lain yang diperintahkan oleh Panglima.",Dev
TVRI_BS_071119_0247,"Jabatan Wakil Panglima TNI terakhir muncul pada 20 tahun lalu, Wakil Panglima terakhir dijabat oleh Fahrul Razi.",Train
TVRI_BS_071119_0250,Wakil Panglima TNI,Train
TVRI_BS_071119_0251,"Kita menunjukkan informasi selanjutnya, sidang pra-peradilan terkait dengan kasus dan akibat kondi yang diajukan tersangka mantan Menpora, Imam Nahrawi, beragendakan pemanggilan saksi ahli dari pihak KPK.",Train
TVRI_BS_071119_0252,Saksi ahli menyatakan bahwa penyidikan terhadap Imam Nahrawi Sah meski ada undang-undang baru KPK.,Train
TVRI_BS_071119_0258,M. Arief Setiawan menjelaskan penetapan tersangka terhadap Imam Narawi sah kendali ada Undang-Undang Baru KPK.,Train
TVRI_BS_071119_0259,"Sebelumnya, Imam tersandung dugaan kasus suap pengurusan proposal dana hibah koni kepada Kemenpora pada tahun anggaran 2018 sebesar 14,7 miliar rupiah.",Train
TVRI_BS_071119_0260,Imam Narawi diduga menerima suap melalui staf pribadinya Miftahul Ulum selama rentang waktu 2014-2018.,Train
TVRI_BS_071119_0261,"Selain itu dalam rentang waktu 2016-2018 imam juga diduga meminta uang senilai 11,8 miliar rupiah",Train
TVRI_BS_071119_0262,"Total penerimaan 26,8 miliar rupiah tersebut diduga merupakan komitmen fee atas pengurusan proposal Hibah yang diajukan KONI",Train
TVRI_BS_071119_0263,Bank Indonesia mengakui dinamika perekonomian global yang terjadi saat ini telah berdampak pada kinerja perekonomian nasional,Train
TVRI_BS_071119_0264,Deputi Gubernur Bank Indonesia Dodi Budi Waluyo mengatakan pertumbuhan ekonomi Indonesia terdampak perlambatan ekonomi dunia.,Train
TVRI_BS_071119_0265,Deputi Gubernur Bank Indonesia Dodi Budi Waluyo menjelaskan masalah global menjadi salah satu penyebab utama ekonomi dunia yang semuanya terdampak oleh perang dagang.,Dev
TVRI_BS_071119_0266,Termasuk negara tetangga di antaranya Malaysia dan Singapura.,Train
TVRI_BS_071119_0267,Dodi memandang positif terhadap rilis terbaru data pertumbuhan ekonomi Indonesia,Train
TVRI_BS_071119_0268,3 bulan ketiga 2019 karena dinilai masih tetap terjaga dan cukup kuat di tengah pertumbuhan ekonomi dunia yang semakin melambat.,Train
TVRI_BS_071119_0271,"Pertanyaan kedua, ekonomi kita tumbuh 5,02 persen, memang terlambat tapi harus kita acungkan jempol ekonomi kita masih bisa tumbuh di sesaran 5 persen.",Train
TVRI_BS_071119_0272,"Perlambatan ekonomi terjadi di hampir semua negara termasuk di negara tetangga kita, di Malaysia, di Singapura, jauh lebih dalam perlambatannya ketimbang di Indonesia.",Train
TVRI_BS_071119_0273,"Tidak bisa dihindari, permasalahan global menjadi salah satu penyebab melemahnya ekonomi global,",Train
TVRI_BS_071119_0274,"ekonomi perdagangan dunia, dan harga komoditi yang semuanya berdampak kepada negara-negara.",Train
TVRI_BS_071119_0275,"Guna merespon tantangan perekonomian global yang semakin tidak mudah,",Train
TVRI_BS_071119_0276,oleh karena itu Bank Sentral akan terus mengantisipasi agar perekonomian tidak turun tajam.,Train
TVRI_BS_071119_0278,Sumber daya manusia merupakan aset yang harus dikembangkan untuk mewujudkan tujuan organisasi.,Train
TVRI_BS_071119_0279,Pusdiklat LPP TVRI sebagai perlu meningkatkan kompetensi SDM TVRI yang bertaraf internasional.,Test
TVRI_BS_071119_0280,"Guna meningkatkan kapasitas kompetensi profesi sumber daya manusia TVRI menuju era digitalisasi,",Train
TVRI_BS_071119_0281,Pusdiklat LPP TVRI melakukan kerjasama internasional bidang penyiaran dengan Asia Pacific Institute for Broadcasting Development,Dev
TVRI_BS_071119_0282,"dan Institut Penyiaran dan Penerangan Tun Abdul Razak, Kuala Lumpur, Malaysia.",Test
TVRI_BS_071119_0283,"Pada lawatannya Ketua Timpus Diklat LPP TVRI, Ade Wandina,",Test
TVRI_BS_071119_0284,menyampaikan pentingnya kerjasama antara TVRI dan AIBD,Train
TVRI_BS_071119_0285,guna mewujudkan peningkatan jumlah pelatihan tingkat internasional melalui berbagai kegiatan.,Train
TVRI_BS_071119_0286,"Kita mau update planning, curriculum, dan sebagainya, dan mungkin dengan beberapa pekerjaan yang bisa kita lakukan in international planning.",Train
TVRI_BS_071119_0287,"Direktur Asia Pacific Institute for Broadcasting Development, Philomena menyambut baik kunjungan delegasi puslikat LPP TVRI,",Train
TVRI_BS_071119_0288,karena TVRI merupakan bagian dari keanggotaan AIBD.,Test
TVRI_BS_071119_0290,dan sebagai media pemersatu bangsa harus meningkatkan jaringan internasional untuk mengikuti perkembangan.,Train
TVRI_BS_071119_0298,"baik profesi, manajerial, dan pengembangan teknologi media.",Test
TVRI_BS_071119_0299,Terima kasih Anda masih setia bersama kami.,Train
TVRI_BS_071119_0300,"Saudara TVRI kembali menggelar penganugerahan karya jurnalistik TVRI Gatra Kencana di Solo, Jawa Tengah.",Train
TVRI_BS_071119_0301,Dan kita akan langsung bergabung dengan reporter Andreas Yulianto langsung dari Jawa Tengah.,Train
TVRI_BS_071119_0302,"Andreas, selamat malam. Seperti apa atau sejauh mana persiapan untuk malam anugerah Gatra Kencana yang rencananya akan diadakan esok ini?",Train
TVRI_BS_071119_0309,"Dua hal tersebut yaitu kualitas konten, pengemasan dan juga dari sisi SDM ataupun sumber daya manusia",Test
TVRI_BS_071119_0312,Dan hal ini tentu saja sejalan dengan sebuah hasil riset yang dilakukan oleh salah seorang dosen,Train
TVRI_BS_071119_0313,dari Universitas Gajah Mada Yogyakarta yang baru dirilis pada tanggal 6 November kemarin,Train
TVRI_BS_071119_0314,"yang menyaktakan atau membuktikan bahwa 91,43% dari total responden penelitian sebanyak 1.357 orang di 34 provinsi",Dev
TVRI_BS_071119_0315,dengan bermacam strata menunjukkan bahwa 31% lebih kaum milenial setiap hari menonton TVRI,Train
TVRI_BS_071119_0319,Mereka juga menggunakan gawai atau gadget,Dev
TVRI_BS_071119_0321,Dalam hal infrastruktur maupun penyiaran melalui Youtube misalnya,Train
TVRI_BS_071119_0322,"Media sosial seperti Facebook, juga Twitter maupun Instagram mungkin",Train
TVRI_BS_071119_0323,Dan juga adanya portal khusus video bagi TVRI,Train
TVRI_BS_071119_0327,Oleh pukul 20 waktu Indonesia Merat,Test
TVRI_BS_071119_0331,Dan para penari dari isi Yogyakarta,Train
TVRI_BS_071119_0332,serta tampilan dari rekan-rekan,Train
TVRI_BS_071119_0333,penyiar TVRI yang akan,Train
TVRI_BS_071119_0335,tentu saja kita akan menantikan bagaimana,Train
TVRI_BS_071119_0336,guna respon dari masyarakat terhadap,Train
TVRI_BS_071119_0337,kualitas tayangan-tayangan TVRI khususnya,Train
TVRI_BS_071119_0339,tahun ini. Ada 12 nominasi,Test
TVRI_BS_071119_0340,siapa saja yang akan meraih,Train
TVRI_BS_071119_0341,lambang penghargaan supremasi tertinggi,Train
TVRI_BS_071119_0342,dari karya bidang pertelevisian,Train
TVRI_BS_071119_0343,kita sama-sama menantikan besok malam pada,Train
TVRI_BS_071119_0344,pukul 20 waktu Indonesia Barat,Train
TVRI_BS_071119_0349,Terima kasih Andreas Silianto melaporkan langsung dari Jawa Tengah,Train
TVRI_BS_071119_0351,Kita menuju informasi selanjutnya,Test
TVRI_BS_071119_0352,Wakil Presiden Mbak Ruf Amin meresmikan Rumah Sakit Umum,Train
TVRI_BS_071119_0353,"Atau RSU Subanulwaton di Tegal, Rojo Kabupaten Magelang, Jawa Tengah",Train
TVRI_BS_071119_0354,RSU Subanulwaton itu merupakan rumah sakit kemitraan,Train
TVRI_BS_071119_0356,"Peresmian dilakukan secara simbolis melalui penanda tanganan, prasasti, dan pengguntingan pita oleh Wapres Kiai Haji Maruf Amin",Train
TVRI_BS_071119_0357,Menteri Kesehatan RI Dr. Terawan Agus Putranto,Train
TVRI_BS_071119_0360,Wakil Presiden Kiai Haji Maruf Amin mengapresiasi kerjasama beberapa pihak sehingga berdiri rumah sakit ini.,Train
TVRI_BS_071119_0363,sehingga menguatkan rumah sakit Subhanul Waton sebagai rumah sakit yang siap melayani seluruh lapisan masyarakat.,Train
TVRI_BS_071119_0368,yang bertujuan untuk meningkatkan kesejahteraan masyarakat setempat,Train
TVRI_BS_071119_0370,dan memperbaiki ekonomi masyarakat lewat program pemberdayaan.,Dev
TVRI_BS_071119_0371,"Dalam kunjungan kerja kali ini, WAPRES juga bersilaturahmi",Train
TVRI_BS_071119_0372,"dengan kalangan pengurus pondok pesantren di Tegal Rejo dan Watu Congol, Kabupaten Magelang.",Train
TVRI_BS_071119_0373,"Badan Meteorologi, Klimatologi, dan Geofisika Sumatera Selatan",Test
TVRI_BS_071119_0374,memprediksi hujan akan turun di wilayah Sumatera Selatan pada tanggal 9 hingga 11 November 2019.,Test
TVRI_BS_071119_0376,Intensitas sedang akan terjadi pada tanggal 9 hingga 11 November 2019.,Train
TVRI_BS_071119_0377,Bambang Beni Setiaji juga mengimbau kepada masyarakat untuk waspada pada masa pancaroba,Train
TVRI_BS_071119_0378,yang dapat menimbulkan angin kencang dan petir saat memasuki musim hujan.,Train
TVRI_BS_071119_0379,Sebagai bagian akhir kita di Indonesia hari ini,Train
TVRI_BS_071119_0380,Kita akan hadirkan informasi perakiraan cuaca kota-kota besar di Indonesia yang berlaku esok hari,Train
TVRI_BS_071119_0382,Dengan cara ketik PGA spasi 7C dan dukung program berita terfavorit dunia dalam berita dengan cara ketik PGA spasi 3B,Train
TVRI_BS_071119_0383,"Vote melalui SMS polling ke nomor 99386 atau vote melalui aplikasi video.com, blibli.com dan melalui situs pga.blibli.com",Dev
TVRI_BS_071119_0384,Akhirnya saya Happy Goeritman dan ardianto Wijaya mewakili teman-teman yang bertugas mengucapkan terima kasih atas kebersamaan Anda.,Train
TVRI_BS_071119_0385,Tetap saksikan TVRI Media Pemersatu Bangsa.,Train
